id,review_date,title,review_text,product_category,user_country,verified_purchase,price,discount,rating,helpful_votes,total_votes,sentiment
73,2021-06-16,,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 5/5,Beauty,UK,True,93.05,0.04,5,6,15,positive
74,2022-09-25,Best Buy,"TERRIBLE BUILD QUALITY, BROKE QUICKLY. RATING: 2/5",Clothing,Australia,True,64.28,0.09,2,3,16,negative
75,2019-04-02,Okay Item,Excellent performance and great value. Rating: 5/5 😊,Clothing,Canada,True,76.69,0.06,5,6,7,positive
76,2022-10-22,Bad Purchase,Excellent  performance  and  great  value.  Rating:  3/5,Books,USA,True,78.74,0.2,3,6,8,neutral
77,2021-08-13,Okay Item,,Electronics,Australia,True,37.75,0.2,4,3,15,positive
78,2023-01-18,, Excellent performance and great value. Rating: 5/5 ,Clothing,Singapore,False,37.76,0.24,5,4,10,positive
79,2022-12-22,Great Product,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 2/5,Toys,Australia,True,21.79,0.02,2,4,14,negative
80,2020-05-23,,Highly recommend this product. Rating: 5/5 😊,Books,Australia,False,17.69,0.46,5,7,9,positive
81,2021-02-14,,,Home,Germany,True,70.06,0.42,3,4,4,neutral
82,2024-05-20,Okay Item,VERY BAD QUALITY AND DISAPPOINTING EXPERIENCE. RATING: 5/5,Beauty,USA,False,39.72,0.24,5,7,11,positive
83,2019-02-04,Bad Purchase,"TERRIBLE BUILD QUALITY, BROKE QUICKLY. RATING: 3/5",Home,Canada,True,52.08,0.27,3,5,12,neutral
84,2019-07-25,Best Buy,Excellent performance and great value. Rating: 5/5!!!,Home,Germany,True,42.77,0.44,5,2,9,positive
85,2022-01-09,Okay Item,Not worth the money at all. Rating: 1/5!!!,Sports,Germany,True,42.4,0.45,1,6,10,negative
86,2024-05-09,Okay Item,Decent product for the price. Rating: 4/5 😊,Toys,Singapore,True,35.32,0.12,4,5,12,positive
87,2023-05-05,Okay Item,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 4/5,Electronics,Germany,True,79.1,0.14,4,3,6,positive
88,2024-03-10,Great Product,GOOD BUT COULD BE BETTER. RATING: 4/5,Sports,,True,46.73,0.31,4,2,4,positive
89,2022-11-12,Great Product,GOOD BUT COULD BE BETTER. RATING: 2/5,Clothing,Australia,True,85.64,0.16,2,8,9,negative
90,2021-10-22,Okay Item,Excellent performance and great value. Rating: 4/5!!!,Toys,India,False,27.69,0.44,4,1,13,positive
91,2021-10-18,, Not worth the money at all. Rating: 2/5 ,Beauty,Canada,True,9.23,0.35,2,5,10,negative
92,2022-11-14,,HIGHLY RECOMMEND THIS PRODUCT. RATING: 4/5,Books,USA,True,8.09,0.17,4,4,11,positive
93,2020-07-19,Okay Item,HIGHLY RECOMMEND THIS PRODUCT. RATING: 3/5,Clothing,India,True,,0.29,3,6,13,neutral
94,2022-02-03,Worth It,,Clothing,Germany,True,50.59,0.14,5,3,8,positive
95,2023-12-01,Best Buy,Highly recommend this product. Rating: 1/5???,Home,Australia,True,36.81,0.38,1,5,15,negative
96,2024-01-20,Bad Purchase,Not worth the money at all. Rating: 2/5!!!,Beauty,UK,False,91.96,0.29,2,3,9,negative
97,2023-02-09,Great Product,"Average item, nothing special. Rating: 2/5!!!",Books,,True,74.72,0.11,2,7,18,negative
98,2020-12-03,Best Buy,"I love this product, will buy again. Rating: 3/5???",Toys,Australia,False,66.38,0.38,3,5,6,neutral
99,2020-02-06,Worth It,,Home,Germany,True,12.63,0.29,2,7,11,negative
100,2020-12-30,Best Buy,THIS PRODUCT IS AMAZING AND WORKS PERFECTLY. RATING: 4/5,Sports,USA,True,17.27,0.4,4,6,9,positive
101,2023-04-29,Best Buy,Not  worth  the  money  at  all.  Rating:  5/5,Books,India,True,,0.3,5,8,18,positive
102,2019-06-11,Best Buy,DECENT PRODUCT FOR THE PRICE. RATING: 4/5,Electronics,USA,False,73.85,0.36,4,6,7,positive
103,2019-07-21,Great Product,Very bad quality and disappointing experience. Rating: 4/5!!!,Clothing,Singapore,False,-9.12,0.26,4,4,11,positive
104,2024-06-04,Bad Purchase,"I LOVE THIS PRODUCT, WILL BUY AGAIN. RATING: 1/5",Sports,Singapore,True,44.81,0.13,1,4,10,negative
105,2021-09-22,Best Buy,HIGHLY RECOMMEND THIS PRODUCT. RATING: 4/5,Sports,Canada,True,30.23,0.23,4,2,6,positive
106,2019-09-27,Best Buy,Excellent  performance  and  great  value.  Rating:  2/5,Clothing,India,True,9.55,0.45,2,2,16,negative
107,2024-03-01,Great Product,This  product  is  amazing  and  works  perfectly.  Rating:  5/5,Books,Germany,False,107.54,0.46,5,5,14,positive
108,2021-03-26,,Highly recommend this product. Rating: 3/5???,Home,India,True,60.04,0.2,3,2,16,neutral
109,2022-07-18,Worth It,"I  love  this  product,  will  buy  again.  Rating:  3/5",Home,India,True,114.95,0.14,3,1,13,neutral
110,2020-03-31,Worth It,"Average item, nothing special. Rating: 3/5!!!",Sports,Singapore,False,33.44,0.25,3,4,8,neutral
111,2023-01-25,Okay Item,Excellent performance and great value. Rating: 5/5 😊,Clothing,India,True,29.82,0.05,5,6,12,positive
112,2023-10-17,Worth It,Decent product for the price. Rating: 2/5???,Clothing,USA,True,8.71,0.48,2,6,14,negative
113,2022-06-29,Great Product,Not worth the money at all. Rating: 4/5 😊,Sports,USA,True,,0.27,4,9,13,positive
114,2021-10-13,Best Buy, This product is amazing and works perfectly. Rating: 2/5 ,Books,Germany,True,84.94,0.39,2,3,7,negative
115,2023-09-22,Great Product,"I LOVE THIS PRODUCT, WILL BUY AGAIN. RATING: 4/5",Books,Australia,True,86.78,0.02,4,9,9,positive
116,2019-10-23,Best Buy,Good but could be better. Rating: 5/5!!!,Electronics,USA,False,95.63,0.32,5,6,18,positive
117,2023-10-15,Worth It,"Average item, nothing special. Rating: 3/5!!!",Books,Canada,False,44.45,0.22,3,11,11,neutral
118,2020-12-20,Worth It,Very bad quality and disappointing experience. Rating: 4/5!!!,Beauty,,True,,0.37,4,5,8,positive
119,2023-11-08,Okay Item,,Electronics,Germany,True,55.29,0.15,5,2,15,positive
120,2019-12-04,Worth It,Good but could be better. Rating: 4/5???,Books,Singapore,True,40.83,0.45,4,7,20,positive
121,2021-05-28,Best Buy,"I love this product, will buy again. Rating: 4/5???",Home,UK,True,82.08,0.14,4,2,6,positive
122,2021-12-12,Best Buy,This product is amazing and works perfectly. Rating: 4/5???,Clothing,,False,46.45,0.05,4,2,3,positive
123,2021-03-02,Great Product,"Average item, nothing special. Rating: 4/5???",Sports,Germany,True,72.65,0.18,4,5,9,positive
124,2024-04-29,Great Product,Decent product for the price. Rating: 2/5 😊,Sports,Germany,True,,0.27,2,7,7,negative
125,2019-08-05,Best Buy,Very bad quality and disappointing experience. Rating: 5/5???,Toys,UK,False,73.27,0.05,5,4,15,positive
126,2021-02-02,,Decent product for the price. Rating: 3/5 😊,Sports,USA,True,68.64,0.47,3,6,20,neutral
127,2019-07-07,Worth It,"I love this product, will buy again. Rating: 1/5!!!",Toys,Singapore,True,34.07,0.14,1,6,9,negative
128,2020-01-15,Worth It,Excellent performance and great value. Rating: 5/5???,Electronics,Singapore,True,49.96,0.46,5,2,4,positive
129,2020-05-07,Worth It, Good but could be better. Rating: 3/5 ,Toys,India,False,45.89,0.44,3,10,17,neutral
130,2021-11-30,Okay Item,THIS PRODUCT IS AMAZING AND WORKS PERFECTLY. RATING: 2/5,Sports,UK,True,58.17,0.28,2,4,17,negative
131,2022-03-26,Great Product,"AVERAGE ITEM, NOTHING SPECIAL. RATING: 4/5",Toys,Singapore,True,15.48,0.46,4,4,7,positive
132,2019-01-15,Worth It,,Toys,USA,True,24.2,0.38,5,4,11,positive
133,2024-01-11,,Decent product for the price. Rating: 5/5???,Sports,Singapore,False,37.37,0.01,5,3,4,positive
134,2019-03-06,Okay Item,Good but could be better. Rating: 5/5???,Toys,Australia,True,,0.43,5,3,3,positive
135,2024-02-24,Great Product,GOOD BUT COULD BE BETTER. RATING: 5/5,Clothing,UK,True,,0.46,5,7,7,positive
136,2024-02-06,Bad Purchase,Very bad quality and disappointing experience. Rating: 1/5???,Home,Canada,False,45.72,0.43,1,7,10,negative
137,2020-06-04,Worth It,GOOD BUT COULD BE BETTER. RATING: 3/5,Home,Singapore,True,56.73,0.04,3,7,10,neutral
138,2022-09-29,Bad Purchase,"I  love  this  product,  will  buy  again.  Rating:  5/5",Home,USA,False,16.79,0.47,5,3,9,positive
139,2022-02-26,Great Product,Highly recommend this product. Rating: 3/5!!!,Home,Singapore,True,52.65,0.38,3,5,6,neutral
140,2020-10-09,Great Product,"Average item, nothing special. Rating: 4/5 😊",Clothing,Canada,True,19.86,0.1,4,7,18,positive
141,2023-02-04,,"Terrible build quality, broke quickly. Rating: 4/5!!!",Beauty,Australia,True,13.45,0.27,4,7,8,positive
142,2021-12-22,Best Buy,Very bad quality and disappointing experience. Rating: 3/5 😊,Home,Germany,True,62.54,0.14,3,4,5,neutral
143,2022-03-08,Bad Purchase,Highly  recommend  this  product.  Rating:  5/5,Toys,Germany,True,10.28,0.24,5,8,8,positive
144,2023-03-03,Bad Purchase,Excellent performance and great value. Rating: 4/5!!!,Beauty,UK,False,78.13,0.15,4,8,10,positive
145,2020-08-15,Bad Purchase,HIGHLY RECOMMEND THIS PRODUCT. RATING: 4/5,Home,Canada,True,4.06,0.03,4,5,18,positive
146,2020-01-27,Bad Purchase," Terrible build quality, broke quickly. Rating: 5/5 ",Home,USA,False,28.21,0.23,5,10,14,positive
147,2023-08-26,Great Product,"Average item, nothing special. Rating: 4/5!!!",Books,India,True,49.78,0.03,4,6,7,positive
148,2020-02-23,Okay Item,HIGHLY RECOMMEND THIS PRODUCT. RATING: 2/5,Books,,True,3.58,0.35,2,9,11,negative
149,2019-10-16,Okay Item,Excellent performance and great value. Rating: 4/5!!!,Beauty,USA,True,,0.21,4,8,14,positive
150,2020-01-14,Bad Purchase,"Terrible build quality, broke quickly. Rating: 5/5 😊",Sports,Canada,False,63.25,0.46,5,6,12,positive
151,2023-12-02,,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 5/5,Electronics,Canada,True,65.19,0.31,5,4,18,positive
152,2023-02-22,Worth It,Highly recommend this product. Rating: 5/5 😊,Beauty,Singapore,False,22.77,0.06,5,2,8,positive
153,2019-08-19,Worth It,Very bad quality and disappointing experience. Rating: 4/5 😊,Clothing,Germany,True,26.44,0.25,4,3,14,positive
154,2021-10-14,Best Buy, Good but could be better. Rating: 3/5 ,Books,Australia,True,76.26,0.14,3,1,11,neutral
155,2019-02-10,Great Product,"TERRIBLE BUILD QUALITY, BROKE QUICKLY. RATING: 5/5",Beauty,USA,True,85.48,0.12,5,8,8,positive
156,2021-11-17,,"Average item, nothing special. Rating: 5/5!!!",Beauty,UK,False,65.16,0.49,5,7,21,positive
157,2019-05-15,Great Product,"AVERAGE ITEM, NOTHING SPECIAL. RATING: 2/5",Beauty,UK,True,32.31,0.36,2,5,15,negative
158,2019-07-20,Worth It," I love this product, will buy again. Rating: 2/5 ",Beauty,Singapore,False,64.33,0.36,2,2,14,negative
159,2024-02-07,Best Buy," Terrible build quality, broke quickly. Rating: 5/5 ",Beauty,Singapore,True,82.42,0.23,5,7,13,positive
160,2021-02-18,Okay Item,,Sports,Canada,True,52.07,0.1,5,12,15,positive
161,2021-07-18,Worth It,"I love this product, will buy again. Rating: 5/5!!!",Books,India,False,83.64,0.19,5,5,11,positive
162,2021-11-22,Okay Item,This product is amazing and works perfectly. Rating: 5/5???,Toys,Australia,True,46.19,0.36,5,3,15,positive
163,2021-12-07,Best Buy,This  product  is  amazing  and  works  perfectly.  Rating:  4/5,Home,Germany,True,34.26,0.5,4,4,7,positive
164,2020-05-17,Okay Item,Excellent performance and great value. Rating: 4/5 😊,Sports,Singapore,True,26.81,0.47,4,5,16,positive
165,2020-02-11,Worth It,Very bad quality and disappointing experience. Rating: 4/5???,Toys,Germany,False,45.08,0.01,4,6,11,positive
166,2023-05-17,Great Product,"I love this product, will buy again. Rating: 1/5 😊",Electronics,Singapore,False,60.92,0.09,1,3,7,negative
167,2023-10-18,Worth It,"Average  item,  nothing  special.  Rating:  4/5",Clothing,Australia,True,55.37,0.03,4,3,5,positive
168,2021-03-15,Okay Item,Highly recommend this product. Rating: 4/5 😊,Electronics,Australia,True,31.16,0.1,4,1,15,positive
169,2019-04-09,Bad Purchase,"Average  item,  nothing  special.  Rating:  4/5",Toys,UK,True,,0.22,4,5,5,positive
170,2020-11-14,Okay Item, Excellent performance and great value. Rating: 4/5 ,Clothing,Singapore,True,44.73,0.47,4,2,6,positive
171,2024-03-10,Best Buy,Decent  product  for  the  price.  Rating:  4/5,Toys,USA,False,39.01,0.28,4,4,4,positive
172,2020-12-26,Best Buy," Average item, nothing special. Rating: 2/5 ",Sports,,False,63.47,0.16,2,2,15,negative
173,2023-04-20,Worth It,This product is amazing and works perfectly. Rating: 3/5 😊,Beauty,Canada,True,81.01,0.18,3,7,10,neutral
174,2021-08-18,Best Buy, Excellent performance and great value. Rating: 2/5 ,Books,Germany,True,45.49,0.44,2,3,5,negative
175,2023-10-29,Worth It,"I love this product, will buy again. Rating: 2/5???",Clothing,USA,False,40.58,0.34,2,9,11,negative
176,2020-09-04,Okay Item, Not worth the money at all. Rating: 5/5 ,Electronics,India,True,-7.8,0.32,5,6,16,positive
177,2024-05-20,Okay Item,Excellent  performance  and  great  value.  Rating:  2/5,Toys,USA,True,67.95,0.13,2,5,8,negative
178,2023-01-25,Great Product,Decent product for the price. Rating: 3/5???,Electronics,Australia,False,-15.41,0.11,3,2,10,neutral
179,2020-10-04,Best Buy,"Average  item,  nothing  special.  Rating:  4/5",Beauty,Singapore,False,63.29,0.28,4,5,7,positive
180,2023-11-28,Bad Purchase,"TERRIBLE BUILD QUALITY, BROKE QUICKLY. RATING: 4/5",Toys,Australia,False,3.27,0.07,4,5,15,positive
181,2021-10-25,Bad Purchase,"Average item, nothing special. Rating: 2/5!!!",Electronics,Germany,True,37.96,0.32,2,8,14,negative
182,2022-05-26,Great Product,DECENT PRODUCT FOR THE PRICE. RATING: 5/5,Beauty,Australia,False,29.87,0.22,5,2,13,positive
183,2020-05-17,Best Buy, Excellent performance and great value. Rating: 5/5 ,Beauty,USA,False,84.64,0.3,5,5,11,positive
184,2021-02-05,Okay Item, Very bad quality and disappointing experience. Rating: 2/5 ,Home,Australia,True,28.02,0.01,2,5,15,negative
185,2020-02-02,Okay Item,"I love this product, will buy again. Rating: 3/5!!!",Beauty,Australia,True,,0.09,3,6,12,neutral
186,2021-05-20,Bad Purchase, Not worth the money at all. Rating: 5/5 ,Electronics,Germany,True,48.98,0.46,5,1,3,positive
187,2021-03-05,Great Product,Decent product for the price. Rating: 5/5???,Toys,Singapore,True,12.84,0.36,5,3,17,positive
188,2020-01-28,Bad Purchase, Very bad quality and disappointing experience. Rating: 4/5 ,Beauty,Germany,True,72.8,0.2,4,9,12,positive
189,2019-07-26,Best Buy,Decent product for the price. Rating: 1/5???,Electronics,Germany,True,64.25,0.04,1,6,16,negative
190,2021-11-04,Best Buy,NOT WORTH THE MONEY AT ALL. RATING: 3/5,Beauty,Canada,True,83.94,0.18,3,5,14,neutral
191,2024-02-25,Okay Item,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 4/5,Beauty,,False,13.12,0.34,4,4,12,positive
192,2023-04-27,Best Buy, Decent product for the price. Rating: 2/5 ,Toys,Australia,True,61.07,0.28,2,3,17,negative
193,2021-06-10,Worth It,Good  but  could  be  better.  Rating:  3/5,Books,UK,False,,0.22,3,11,13,neutral
194,2023-01-24,Best Buy,Not  worth  the  money  at  all.  Rating:  4/5,Beauty,Canada,False,8.3,0.42,4,6,11,positive
195,2023-09-11,Okay Item,Highly  recommend  this  product.  Rating:  3/5,Beauty,Germany,True,14.21,0.42,3,3,11,neutral
196,2023-05-18,Okay Item,Decent product for the price. Rating: 5/5???,Beauty,Germany,False,34.1,0.43,5,7,21,positive
197,2021-05-13,Bad Purchase,Not worth the money at all. Rating: 5/5 😊,Sports,Australia,True,91.65,0.49,5,6,15,positive
198,2021-01-12,Okay Item,"Average  item,  nothing  special.  Rating:  3/5",Home,Canada,True,441.8,0.33,3,2,4,neutral
199,2022-06-18,Okay Item,Excellent performance and great value. Rating: 5/5 😊,Clothing,Australia,True,60.89,0.38,5,4,13,positive
200,2020-07-17,,Very bad quality and disappointing experience. Rating: 2/5???,Electronics,Canada,True,-4.22,0.38,2,5,13,negative
201,2021-10-17,,Excellent performance and great value. Rating: 5/5 😊,Home,Singapore,True,49.92,0.48,5,2,13,positive
202,2019-04-06,Great Product,"Terrible  build  quality,  broke  quickly.  Rating:  2/5",Home,India,False,69.97,0.48,2,2,15,negative
203,2024-04-07,Bad Purchase,Decent product for the price. Rating: 1/5!!!,Toys,Singapore,False,297.0,0.39,1,4,12,negative
204,2023-10-24,Bad Purchase,Highly recommend this product. Rating: 4/5???,Sports,India,True,86.98,0.49,4,6,10,positive
205,2020-04-29,Okay Item,EXCELLENT PERFORMANCE AND GREAT VALUE. RATING: 4/5,Toys,India,False,0.42,0.1,4,4,15,positive
206,2022-12-01,Best Buy,Highly recommend this product. Rating: 5/5 😊,Books,Germany,True,71.42,0.15,5,6,20,positive
207,2019-08-19,Great Product, Not worth the money at all. Rating: 3/5 ,Clothing,India,True,-7.76,0.12,3,8,10,neutral
208,2021-01-18,Okay Item, Excellent performance and great value. Rating: 3/5 ,Clothing,USA,True,75.59,0.4,3,7,21,neutral
209,2023-08-06,Great Product,"I love this product, will buy again. Rating: 4/5???",Sports,Singapore,True,91.82,0.47,4,8,20,positive
210,2022-04-09,Okay Item," I love this product, will buy again. Rating: 4/5 ",Sports,Australia,True,-13.17,0.24,4,5,6,positive
211,2020-06-24,Worth It,This product is amazing and works perfectly. Rating: 3/5 😊,Electronics,Singapore,True,52.35,0.1,3,1,2,neutral
212,2021-11-25,Best Buy, Highly recommend this product. Rating: 4/5 ,Beauty,Canada,True,62.1,0.04,4,5,18,positive
213,2020-06-08,Bad Purchase,Good  but  could  be  better.  Rating:  5/5,Clothing,Canada,False,-5.73,0.13,5,5,9,positive
214,2022-03-29,Worth It,,Electronics,India,True,59.83,0.4,5,7,17,positive
215,2024-02-06,Great Product, Highly recommend this product. Rating: 5/5 ,Home,Australia,True,32.54,0.3,5,2,4,positive
216,2023-09-19,Okay Item,Highly recommend this product. Rating: 3/5 😊,Clothing,Canada,False,59.65,0.4,3,6,18,neutral
